"Genus","Species.Name","a","b"
"Abalistes","Abalistes filamentosus",0.0257,2.94
"Abalistes","Abalistes stellaris",0.045615,2.729864
"Abalistes","Abalistes stellatus",0.045615,2.729864
"Ablennes","Ablennes hians",0.00036,3.322
"Abudefduf","Abudefduf abdominalis",0.0369,3.13
"Abudefduf","Abudefduf bengalensis",0.02455,3.01
"Abudefduf","Abudefduf concolor",0.02455,3.01
"Abudefduf","Abudefduf declivifrons",0.02455,3.01
"Abudefduf","Abudefduf lorenzi",0.02455,3.01
"Abudefduf","Abudefduf margariteus",0.02455,3.01
"Abudefduf","Abudefduf natalensis",0.02455,3.01
"Abudefduf","Abudefduf notatus",0.02455,3.01
"Abudefduf","Abudefduf septemfasciatus",0.02455,3.01
"Abudefduf","Abudefduf sexfasciatus",0.012524,3.132315
"Abudefduf","Abudefduf sordidus",0.0358,3.18
"Abudefduf","Abudefduf sparoides",0.02455,3.01
"Abudefduf","Abudefduf troschelii",0.02455,3.01
"Abudefduf","Abudefduf vaigiensis",0.021712,2.99246
"Abudefduf","Abudefduf whitleyi",0.0138,3.09268
"Acanthaluteres","Acanthaluteres brownii",0.02188,2.91
"Acanthaluteres","Acanthaluteres spilomelanurus",0.02188,2.91
"Acanthaluteres","Acanthaluteres vittiger",0.02188,2.91
"Acanthemblemaria","Acanthemblemaria atrata",0.00457,3.08
"Acanthemblemaria","Acanthemblemaria hancocki",0.00457,3.08
"Acanthistius","Acanthistius cinctus",0.00933,2.97
"Acanthistius","Acanthistius ocellatus",0.00933,2.97
"Acanthistius","Acanthistius pardalotus",0.01,3.04
"Acanthistius","Acanthistius paxtoni",0.01,3.04
"Acanthistius","Acanthistius pictus",0.1038,2.497
"Acanthistius","Acanthistius serratus",0.00933,2.97
"Acanthochromis","Acanthochromis polyacanthus",0.0429,3.045
"Acanthocybium","Acanthocybium solandri",0.002526,3.269807
"Acanthopagrus","Acanthopagrus australis",0.01288,3.03
"Acanthopagrus","Acanthopagrus berda",0.0151,3.092
"Acanthopagrus","Acanthopagrus bifasciatus",0.01549,3.04
"Acanthopagrus","Acanthopagrus latus",0.024319,2.93927
"Acanthurus","Acanthurus achilles",0.02291,2.96
"Acanthurus","Acanthurus albimento",0.01698,2.99
"Acanthurus","Acanthurus albipectoralis",0.01698,2.99
"Acanthurus","Acanthurus auranticavus",0.02291,2.96
"Acanthurus","Acanthurus bariene",0.02291,2.96
"Acanthurus","Acanthurus blochii",0.014365,3.073704
"Acanthurus","Acanthurus chronixis",0.02291,2.96
"Acanthurus","Acanthurus dussumieri",0.037995,2.83451
"Acanthurus","Acanthurus fowleri",0.01698,2.99
"Acanthurus","Acanthurus gahhm",0.02291,2.96
"Acanthurus","Acanthurus grammoptilus",0.02291,2.96
"Acanthurus","Acanthurus guttatus",0.047,2.9
"Acanthurus","Acanthurus japonicus",0.02291,2.96
