country,submittedon,submittedby,surveydate,community,controlsite,controlsitename,reefzone,locationname,locationstatus,lat,lon,location,transectnumber,divername,waterdepth,temperature,reefslope,transectarea,species,fishcount,density_ind_ha,length,sizeclass,country_full,level1_name,level2_name,ma_name,ma_area,biomass_kg_ha,a,b,lmax,family
IDN,2019-04-22T00:00:00Z,RRD,2019-04-22T00:00:00Z,Kapuntori,false,NA,Fore Reef,KAPUN1,ma,-5.23384,122.70051,POINT(122.70051 -5.23384),1,SABARUDIN,5,30,Flat,250,Epinephelus merra,1,40.0,15.0,20-Oct,Indonesia,South East Sulawesi,Buton,Kapuntori,16912,2.3655623630248273,0.012393999999999999,3.127872,28.0,Serranidae
IDN,2019-04-22T00:00:00Z,RRD,2019-04-22T00:00:00Z,Kapuntori,false,NA,Fore Reef,KAPUN1,ma,-5.23384,122.70051,POINT(122.70051 -5.23384),3,SABARUDIN,5,30,Flat,250,Siganus vulpinus,1,40.0,18.0,20-Oct,Indonesia,South East Sulawesi,Buton,Kapuntori,16912,5.2359696,0.022445,3.0,21.2,Siganidae
IDN,2019-04-22T00:00:00Z,RRD,2019-04-22T00:00:00Z,Kapuntori,false,NA,Fore Reef,KAPUN2,reserve,-5.18556,122.73413,POINT(122.73413 -5.18556),1,SUDIAR,6,30,Slope,250,Lutjanus biguttatus,1,40.0,29.0,20-30,Indonesia,South East Sulawesi,Buton,Kapuntori,16912,13.178739459096652,0.01445,2.98,,Lutjanidae
IDN,2019-05-14T00:00:00Z,RRD,2019-05-14T00:00:00Z,Kulisusu,false,NA,Fore Reef,KULIS1,ma,-4.81342,123.12096,POINT(123.12096 -4.81342),3,SABARUDIN,5,30,Slope,250,Thalassoma lunare,1,40.0,16.0,20-Oct,Indonesia,South East Sulawesi,Buton Utara,Kulisusu,7462,2.482192952111878,0.024650000000000002,2.8244350000000003,20.0,Labridae
IDN,2019-04-09T00:00:00Z,YARI,2019-04-09T00:00:00Z,Teluk Moramo,false,NA,Fore Reef,MORAM6,ma,-4.12624,122.72997,POINT(122.72997 -4.12624),3,Yusran,6,30,Slope,250,Plectorhinchus lineatus,3,120.0,28.0,20-30,Indonesia,South East Sulawesi,Konawe Selatan,Teluk Moramo,6386,43.12151333254491,0.013125000000000001,3.066295,44.0,Haemulidae
IDN,2019-05-17T00:00:00Z,RRD,2019-05-17T00:00:00Z,Pasi Kolaga,false,NA,Fore Reef,PASIK1,ma,-4.96714,122.7837,POINT(122.7837 -4.96714),1,SABARUDIN,5,30,Flat,250,Thalassoma lunare,2,80.0,20.0,20-30,Indonesia,South East Sulawesi,Muna,Pasi Kolaga,37975,9.32355562949779,0.024650000000000002,2.8244350000000003,20.0,Labridae
IDN,2019-05-17T00:00:00Z,RRD,2019-05-17T00:00:00Z,Pasi Kolaga,false,NA,Fore Reef,PASIK1,ma,-4.96714,122.7837,POINT(122.7837 -4.96714),1,SABARUDIN,5,30,Flat,250,Scarus rivulatus,3,120.0,20.0,20-30,Indonesia,South East Sulawesi,Muna,Pasi Kolaga,37975,26.966843227784484,0.0204625,3.1057625,41.5,Scaridae
IDN,2019-05-17T00:00:00Z,RRD,2019-05-17T00:00:00Z,Pasi Kolaga,false,NA,Fore Reef,PASIK1,ma,-4.96714,122.7837,POINT(122.7837 -4.96714),1,SABARUDIN,5,30,Flat,250,Scarus rivulatus,4,160.0,25.0,20-30,Indonesia,South East Sulawesi,Muna,Pasi Kolaga,37975,71.90321862319811,0.0204625,3.1057625,41.5,Scaridae
IDN,2019-05-17T00:00:00Z,RRD,2019-05-17T00:00:00Z,Pasi Kolaga,false,NA,Fore Reef,PASIK1,ma,-4.96714,122.7837,POINT(122.7837 -4.96714),1,SABARUDIN,5,30,Flat,250,Scarus dimidiatus,5,200.0,25.0,20-30,Indonesia,South East Sulawesi,Muna,Pasi Kolaga,37975,101.71707851636168,0.0278,3.049,26.5,Scaridae
IDN,2019-05-17T00:00:00Z,RRD,2019-05-17T00:00:00Z,Pasi Kolaga,false,NA,Fore Reef,PASIK1,ma,-4.96714,122.7837,POINT(122.7837 -4.96714),1,SABARUDIN,5,30,Flat,250,Scarus dimidiatus,3,120.0,35.0,30-40,Indonesia,South East Sulawesi,Muna,Pasi Kolaga,37975,170.2509363717803,0.0278,3.049,26.5,Scaridae
