SurveyID,Country,Collector,Site Code,Site,Year,Lat,Lon,Date,Subregion,Habitat,Reef Zone,Depth,MPA,MPA Name,Zone Detail,Zone,Year Est,Year Man,MPA km2,% No Take,No Take km2,Enforcement,CCA,TA,M,MH,MI,FM,FMH,FMI,CM,CMH,CMI,LC,DT,DJ,DA,L,CO,T,H,HHRI,I,P,CSHRI,CS,DP,ANGE,BARR,BUTT,CHUB,DAMS,FILE,GRUN,JACK,PARR,PORC,PORG,SCOR,SEAB,SNAP,SURG,TRIG,WRAS,Ravg,Rmed,hii100km,hii75km,hii50km,hii25km,hii10km,Grav_tot,ReefArea10km,Chla.2003.2016,Chla,ACET,AMPH,BFMA,CAUL,CLAD,CMA,CODI,DICT,DSPH,FMA,GALA,GCMA,GELI,GFMA,HALI,HALM,HYPO,JANI,LAUR,LOBO,MA,MART,MICR,MUD,ND.HALI,PADI,PENI,RCMA,RFMA,RHIP,SARG,STYP,TURB,UDOT,VALO,WRAN,Acanthurus chirurgus,Acanthurus coeruleus,Acanthurus tractus,Centropyge argi,Kyphosus spp.,Melichthys niger,Scarus / Sparisoma,Scarus coelestinus,Scarus coeruleus,Scarus guacamaia,Scarus iseri,Scarus taeniopterus,Scarus vetula,Sparisoma atomarium,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma rubripinne,Sparisoma viride
10_Frontal Somero2016,Mexico,Sian_Kaan,10_Frontal Somero,NA,2016,19.40626,-87.44809,NA,Central Quintana Roo (Sian Ka'an),NA,Fore reef,12,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,1356,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193246,104197,37099,6996,624,18,2.024519377,540.2669791,446.3421071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_posterior2016,Mexico,Sian_Kaan,10_posterior,NA,2016,19.40561,-87.45189,NA,Central Quintana Roo (Sian Ka'an),NA,Crest,2,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,40.2,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,3235,NA,NA,1098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194116,105232,37609,7196,668,18,0.038938275,540.2669791,446.3421071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_Profundo2016,Mexico,Sian_Kaan,10_Profundo,NA,2016,19.40577,-87.4427,NA,Central Quintana Roo (Sian Ka'an),NA,Fore reef,17,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,40.7,NA,NA,NA,NA,NA,17.2,NA,NA,NA,NA,NA,NA,NA,1386,NA,NA,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191868,103122,36221,6820,536,18,0.571379726,540.2669791,446.3421071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1032B2016,Mexico,"Barco Lab, UNAM",1032B,NA,2016,19.41503,-87.44633,NA,Central Quintana Roo (Sian Ka'an),NA,Fore reef,12,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,3118,NA,NA,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192550,103654,37118,6820,696,18,0.759638549,540.2669791,446.3421071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062 BR2016,Belize,ERI/UB,1062 BR,NA,2016,17.2561263,-87.9562313,NA,Turneffe,NA,Back reef,3,Yes,Turneffe Atoll Marine Reserve,General Use Zone,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,1499,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162092,80408,23886,1768,344,NA,NA,556.1052258,499.2198817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062 DFR2016,Belize,ERI/UB,1062 DFR,NA,2016,17.2587059,-87.9592547,NA,Turneffe,NA,Fore reef,10.7,Yes,Turneffe Atoll Marine Reserve,General Use Zone,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,2479,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163143,81245,24457,1796,340,NA,NA,556.1052258,499.2198817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062 SFR2016,Belize,ERI/UB,1062 SFR,NA,2016,17.2602972,-87.961022,NA,Turneffe,NA,Fore reef,4.6,Yes,Turneffe Atoll Marine Reserve,General Use Zone,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,3201,NA,NA,1541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163796,81800,24901,1796,326,NA,0.877715488,556.1052258,499.2198817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071 DFR2016,Belize,ERI/UB,1071 DFR,NA,2016,17.4778359,-87.7818689,NA,Turneffe,NA,Fore reef,12.2,Yes,Turneffe Atoll Marine Reserve,Special Management,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,1488,NA,NA,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124137,49216,5624,1940,1008,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071 SFR2016,Belize,ERI/UB,1071 SFR,NA,2016,17.4773632,-87.7848524,NA,Turneffe,NA,Fore reef,4.6,Yes,Turneffe Atoll Marine Reserve,Special Management,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,762,NA,NA,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124970,50044,5825,1954,1022,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1206 BR2016,Belize,ERI/UB,1206 BR,NA,2016,17.2491312,-87.8386549,NA,Turneffe,NA,Back reef,1.2,Yes,Turneffe Atoll Marine Reserve,General Use Zone,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA,NA,NA,556,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129321,53713,5500,1874,502,66,3.197788619,338.7735025,318.9884427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
