speccode,species,a,b,lmax_old,family,lmax
68792,Acanthurus bahianus,0.026,2.87,12.8,Acanthuridae,12.8
68239,Monotaxis heterodon,0.01778,2.97,NA,Lethrinidae,NA
67997,Stegastes xanthurus,0.0324,2.836,7.4,Pomacentridae,7.4
67428,Cobitis sibirica,0.003,3.278,10,Cobitidae,10
66818,Brachaluteres fahaqa,0.02188,2.91,NA,Monacanthidae,NA
66478,Chlorurus spilurus,0.020118,3.059482,NA,Scaridae,NA
66329,Cantherhines nukuhiva,0.02188,2.91,NA,Monacanthidae,NA
66029,Chaetodon pictus,0.02291,3.01,NA,Chaetodontidae,NA
65030,Amblypomacentrus vietnamicus,0.01479,2.98,NA,Pomacentridae,NA
64243,Bodianus busellatus,0.01202,3.06,NA,Labridae,NA
62159,Xanthichthys lima,0.01,3.04,NA,Balistidae,NA
62120,Melanorivulus rossoi,0.006835,3.0974,3.58,Rivulidae,NA
61949,Luciobarbus barbulus,0.0075,3.077,NA,Cyprinidae,NA
61270,Liopropoma longilepis,0.1,3.04,NA,Serranidae,NA
61079,Pomacentrus caeruleopunctatus,0.02344,2.99,NA,Pomacentridae,NA
61074,Pomacentrus callainus,0.02344,2.99,NA,Pomacentridae,NA
61073,Pomacentrus atriaxillaris,0.01,3.04,NA,Pomacentridae,NA
60868,Etrumeus micropus,0.00433,3.79,12,Dussumieriidae,12
60760,Plectorhinchus umbrinus,0.01,3.04,NA,Haemulidae,NA
60620,Pseudanthias conspicuus,0.01,3.04,NA,Serranidae,NA
60441,Scarus gracilis,0.01,3.04,NA,Scaridae,NA
60142,Neosalanx argentea,0.00056,3.99,4.75,Salangidae,NA
59635,Choerodon paynei,0.01,3.04,NA,Labridae,NA
59309,Bovichtus diacanthus,0.0047,3.347,18.9,Bovichtidae,18.9
59193,Pseudanthias albofasciatus,0.01,3.04,NA,Serranidae,NA
58972,Bothus tricirrhitus,0.01047,3,NA,Bothidae,NA
58971,Bothus swio,0.01047,3,NA,Bothidae,NA
58398,Barbodes banksi,0.0076,3.01,12,Cyprinidae,12
57440,Pseudolabrus sieboldi,0.00977,3.05,NA,Labridae,NA
56145,Cheilodactylus rubrolabiatus,0.0123,3.02,NA,Cheilodactylidae,NA
55294,Squalius ulanus,0.018,2.55,4.49,Cyprinidae,4.49
55015,Canthigaster punctata,0.02818,2.094,NA,Tetraodontidae,NA
55012,Canthigaster flavoreticulata,0.02818,2.094,NA,Tetraodontidae,NA
53997,Galeus atlanticus,0.0023,3.07,41.7,Scyliorhinidae,41.7
51741,Choerodon melanostigma,0.01,3.04,NA,Labridae,NA
48062,Limnocottus griseus,0.0149,3,NA,Abyssocottidae,NA
48060,Cyphocottus eurystomus,0.0178,3,NA,Abyssocottidae,NA
48048,Asprocottus abyssalis,0.0125,3,NA,Abyssocottidae,NA
46823,Notolabrus parilus,0.01995,2.99,NA,Labridae,NA
46114,Choeroichthys latispinosus,0.00049,3.1,NA,Syngnathidae,NA
27481,Apogon dammermani,0.01072,3.1,NA,Apogonidae,NA
15108,Lepidoperca tasmanica,0.1,3.04,NA,Serranidae,NA
15058,Lepidoperca caesiopercula,0.1,3.04,NA,Serranidae,NA
15047,Caesioscorpis theagenes,0.01202,3.02,NA,Serranidae,NA
15040,Acanthistius paxtoni,0.01,3.04,NA,Serranidae,NA
15038,Acanthistius pardalotus,0.01,3.04,NA,Serranidae,NA
14994,Trachinops taeniatus,0.00468,3.18,NA,Plesiopidae,NA
10882,Chaetodontoplus ballinae,0.0302,2.89,NA,Pomacanthidae,NA
8849,Peltorhamphus novaezeelandiae,0.021705,2.874,NA,Pleuronectidae,NA
7994,Acentronura gracilissima,0.00389,3.12,NA,Syngnathidae,NA
4851,Pseudojuloides cerasinus,0.01,3.06,NA,Labridae,NA
4847,Pseudojuloides argyreogaster,0.0049,3.06,NA,Labridae,NA
4846,Paracheilinus hemitaeniatus,0.00977,3.05,NA,Labridae,NA
1968,Trachinotus coppingeri,0.01288,2.96,NA,Carangidae,NA
1966,Trachinotus anak,0.01288,2.96,NA,Carangidae,NA
2061,Mobula birostris,0.011355,3,550,Myliobatidae,910
2067,Huso huso,0.0097,2.96225,270,Acipenseridae,800
2057,Pristis pectinata,0.00171,3.04,NA,Pristidae,760
886,Galeocerdo cuvier,0.005574,3.2034,400,Carcharhinidae,750
51176,Pristis perotteti,0.04,2.56,NA,Pristidae,650
751,Carcharodon carcharias,0.011249091,3.040272727,640,Lamnidae,640
2594,Acipenser transmontanus,0.00568,3.14,263,Acipenseridae,610
914,Sphyrna mokarran,0.00157,3.2,325,Sphyrnidae,610
2066,Acipenser sturio,0.008673333,2.991666667,352,Acipenseridae,600
2535,Alopias vulpinus,0.0188,2.519,262,Alopiidae,573
4633,Huso dauricus,0.00165,3.34665,341,Acipenseridae,560
5909,Megachasma pelagios,0.005386667,3.226666667,515,Megachasmidae,549
289,Silurus glanis,0.01960625,2.797125,250,Siluridae,500
218,Makaira mazara,0.1,2.6181,201,Istiophoridae,500
917,Sphyrna zygaena,0.00946,2.9025,140.5,Sphyrnidae,500
216,Makaira nigricans,0.00963,3.03775,369,Istiophoridae,500
2534,Alopias superciliosus,0.054942,2.864,228,Alopiidae,488
637,Hexanchus griseus,0.0135,3,330,Hexanchidae,482
1371,Hippoglossus hippoglossus,0.015675,3.13355,181,Pleuronectidae,470
217,Istiompax indica,0.003305,2.814,332,Istiophoridae,465
147,Thunnus thynnus,0.028419231,2.915769231,290,Scombridae,458
